date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:20	4410/4410	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-dropdown.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-dropdown.js	(from http://getbootstrap.com/)
15:47:21	4652/4652	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-scrollspy.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-scrollspy.js	(from http://getbootstrap.com/)
15:47:21	76560/76560	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/img/example-sites/gathercontent.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/img/example-sites/gathercontent.png	(from http://getbootstrap.com/)
15:47:21	3493/3493	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-tab.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-tab.js	(from http://getbootstrap.com/)
15:47:22	9908/9908	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-tooltip.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-tooltip.js	(from http://getbootstrap.com/)
15:47:23	3112/3112	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-popover.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-popover.js	(from http://getbootstrap.com/)
15:47:23	2838/2838	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-button.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-button.js	(from http://getbootstrap.com/)
15:47:24	4732/4732	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-collapse.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-collapse.js	(from http://getbootstrap.com/)
15:47:24	6054/6054	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-carousel.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-carousel.js	(from http://getbootstrap.com/)
15:47:25	8317/8317	---MC-	200	added ('OK')	application/javascript	date:Wed,%2012%20Nov%202014%2017:53:14%20GMT	http://getbootstrap.com/2.3.2/assets/js/bootstrap-typeahead.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/2.3.2/assets/js/bootstrap-typeahead.js	(from http://getbootstrap.com/)
